index,programa,radio,banda,ciudad,provincia,pais,inicio,duracion,usuario,reproducciones,etiquetas,titulo,descripcion,link
1,todo-este-ruido-1, Radio Provincia Am1270,AM,La Plata,Buenos Aires,Argentina,2024-08-08T15:55:25+00:00,154,hergarcia78,3036,"charly garcía, la lógica del escorpión",Yo ya sé - ¿Adelanto de La Lógica del escorpión? ,Yo ya sé - Adelanto de La Lógica del escorpión ,https://radiocut.fm/audiocut/yo-ya-se-adelanto-logica-del-escorpion/
2,cohete-a-luna,AM 530 - Somos Radio,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-11T12:03:46+00:00,4174,somosradio,1495,"am 530, am 530 somos radio, el cohete a la luna, horacio verbitsky, somos radio",Horacio Verbitsky - Ojo Negro - El Cohete a la Luna,"""Ojo Negro"". La primera entrevista de Alberto Fernández con un medio argentino y sus excusas. Alberto Fernández le dio su versión de los hechos al Cohete en una entrevista de una hora y cuarto en la mañana del viernes 9, con la condición de que no se publique antes de la otra entrevista que concedió, al diario español El País, que debería salir hoy. El ex Presidente alega que el hematoma no se debe a un golpe, sino a un tratamiento estético contra las arrugas. Los medios que siguen cada minuto del caso, recuerdan que también en 2021 Fernández primero negó que se hubiera producido el festejo en Olivos, luego puso en duda la autenticidad de la foto y terminó por incriminar a su pareja. El editorial de Horacio Verbitsky del 11/08/2024 en El Cohete a la Luna.",https://radiocut.fm/audiocut/horacio-verbitsky-ojo-negro-cohete-a-luna/
3,la-manana-con-victor-hugo,AM 750,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-12T12:04:45+00:00,210,RadioAM750,1217,,El editorial de Víctor Hugo Morales,Volvé a escuchar el editorial de VHM por la 750. ,https://radiocut.fm/audiocut/editorial-victor-hugo-morales-9886/
4,te-quiero-a-las-10,AM 750,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-09T11:57:11+00:00,530,RadioAM750,5423,,El pase entre Víctor Hugo y Cynthia García,Volvé a escuchar el pase de las 9:00 por la 750. ,https://radiocut.fm/audiocut/pase-entre-victor-hugo-y-cynthia-garcia/
5,y-ahora-quien-podra-ayudarno,Con Vos,FM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-12T12:46:38+00:00,1047,yorecorto,291,maria o donnell,Maria O Donnell sobre el reportaje en Infobae,"Maria O Donnell y su marido televisivo Tenembaum. Sobre la cobertura de Alberto Fernandez, fabiola, mujeres de visita, etc",https://radiocut.fm/audiocut/maria-o-donnell-sobre-reportaje-en-infobae/
6,jugo-limon,AM 530 - Somos Radio,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-13T23:03:46+00:00,979,somosradio,81,"jugo de limón, sandra russo, somos radio am 530","Editorial de Sandra Russo: ""Y mientras tanto..."" ",Editorial de Sandra Russo en #JugoDeLimón ,https://radiocut.fm/audiocut/editorial-sandra-russo-y-mientras-tanto/
7,marca-de-radio,La Red,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-10T14:04:51+00:00,2125,aliciafernandez,902,,Reportaje a Ricardo Aronskind,Ricardo Aronskind hace un excelente análisis del momento político y del estado del campo popular y su conducción política,https://radiocut.fm/audiocut/reportaje-a-ricardo-aronskind-2/
8,marca-de-radio,La Red,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-10T13:07:23+00:00,1017,sodamanatico,1074,,Editorial Eduardo Aliverti 10/08/2024,"Argentina en la semana ""Alberto Fernández""",https://radiocut.fm/audiocut/editorial-eduardo-aliverti-10-08-2024/
9,marca-de-radio,La Red,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-10T13:05:37+00:00,1120,skay,619,"editorial, editorial de aliverti, eduardo aliverti, marca de radio",Editorial Eduardo Aliverti - Marca de Radio - 10/08/2024,"Es el triunfo del antipolítica, el dedo que acusa solo a un lado, el verso de la honestidad en manos de los corruptos más evidentes la transitoria. Confianza o resignación popular, depositada en Los Auténticos Verdugos populares, la Argentina sin embargo tiene mucha experiencia en la resistencia en los cuerpos más dinámicos de su sociedad. Eso sí, esta vez no se trata solo de la resistencia, construir otra cosa es más urgente que nunca! ",https://radiocut.fm/audiocut/editorial-eduardo-aliverti-marca-radio-10-08-2024/
10,siempre-es-hoy-1,AM 530 - Somos Radio,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-13T14:27:13+00:00,579,somosradio,116,"rulo dellatorre, siempre es hoy, somos radio am 530",Columna Rulo Dellatorre,La habitual columna de #SiempreEsHoy,https://radiocut.fm/audiocut/columna-rulo-dellatorre-9/
